Date,NG,SNP,Gold,Brent,Light,Platinum,Silver
2019-02-01,2.733,2706.53,1322,62.9,55.37,825.6,15.91
2019-02-04,2.656,2724.87,1319.4,62.82,54.76,825.1,15.93
2019-02-05,2.695,2737.7,1318,62.11,53.73,819.4,15.81
2019-02-06,2.671,2731.61,1307.8,62.55,53.82,807,15.655
2019-02-07,2.579,2706.05,1313.4,61.68,52.29,797.3,15.675
2019-02-08,2.618,2707.88,1318.2,61.97,52.71,802.4,15.825
2019-02-11,2.655,2709.8,1312.3,61.58,52.65,789.8,15.73
2019-02-12,2.603,2744.73,1316.8,62.61,53.56,792.9,15.735
2019-02-13,2.589,2753.03,1312,63.6,54.29,787.9,15.615
2019-02-14,2.547,2745.73,1315.3,64.56,54.97,785.8,15.54
2019-02-15,2.632,2775.6,1325,66.39,56.2,808.4,15.755
2019-02-19,2.656,2779.76,1345.5,66.44,56.53,822.3,16.005
2019-02-20,2.654,2784.7,1341.6,67.18,57.33,825.5,15.97
2019-02-21,2.698,2774.88,1328.1,66.94,56.94,830.1,15.805
2019-02-22,2.698,2792.67,1330.7,66.91,57.07,845.6,15.885
2019-02-25,2.848,2796.11,1330.7,64.92,55.19,861.8,15.87
2019-02-26,2.786,2793.9,1329.5,65.79,55.99,866,15.825
2019-02-27,2.8,2792.38,1319.8,66.47,56.8,867.2,15.765
2019-02-28,2.798,2784.49,1312.9,66.28,57.54,873.1,15.595
2019-03-01,2.846,2803.69,1294.5,65,55.75,862.4,15.225
2019-03-04,2.857,2792.81,1289.2,65.55,56.31,840.8,15.145
2019-03-05,2.883,2789.65,1289.2,65.57,56.08,833.8,15.135
2019-03-06,2.833,2771.45,1284.9,65.93,56.28,825,15.07
2019-03-07,2.868,2748.93,1291,66.09,56.32,816.1,15.095
2019-03-08,2.864,2743.07,1298.6,65.81,56.04,818.5,15.36
2019-03-11,2.777,2783.3,1296.7,66.63,57.03,826.1,15.415
2019-03-12,2.789,2791.52,1304.8,66.82,57.17,835.9,15.455
2019-03-13,2.834,2810.92,1303,67.64,58.4,835.4,15.375
2019-03-14,2.835,2808.48,1297.7,67.18,58.91,829.7,15.265
2019-03-15,2.791,2822.48,1302.3,67.02,58.74,831.5,15.29
2019-03-18,2.839,2832.94,1307.6,67.43,59.37,838.9,15.4
2019-03-19,2.86,2832.57,1304.6,67.71,59.11,856.8,15.33
2019-03-20,2.829,2824.23,1318.7,68.3,60.26,870,15.57
2019-03-21,2.791,2854.88,1307.9,67.74,59.86,858.7,15.47
2019-03-22,2.753,2800.71,1313.4,67.08,58.97,848.2,15.435
2019-03-25,2.758,2798.36,1319.4,66.9,59.24,854.6,15.53
2019-03-26,2.72,2818.46,1314.4,67.44,60.01,861.3,15.41
2019-03-27,2.73,2805.37,1309.6,67.3,59.18,855.6,15.285
2019-03-28,2.721,2815.44,1293.5,67.31,59.6,842.8,14.985
2019-03-29,2.673,2834.4,1297,67.55,60.18,846.9,15.1
2019-04-01,2.693,2867.19,1290.4,69.16,61.72,854,15.025
2019-04-02,2.688,2867.24,1297.4,69.57,62.82,863.7,15.145
2019-04-03,2.674,2873.4,1297,69.52,62.35,878.9,15.12
2019-04-04,2.639,2879.39,1293.6,69.31,62.09,895.6,15.105
2019-04-05,2.679,2892.74,1295.9,70.48,63.26,905.1,15.08
2019-04-08,2.723,2895.77,1303.3,71.1,64.54,907.9,15.23
2019-04-09,2.707,2878.2,1306.4,70.83,64.13,895.3,15.155
2019-04-10,2.703,2888.21,1310.9,71.57,64.28,910.6,15.185
2019-04-11,2.676,2888.32,1296,70.98,63.85,898.5,14.93
2019-04-12,2.654,2907.41,1293.5,71.55,63.76,895.4,14.93
2019-04-15,2.591,2905.58,1287.6,71.3,63.5,890.3,14.91
2019-04-16,2.578,2907.06,1279.8,71.86,64.56,885.1,14.98
2019-04-17,2.506,2900.45,1274.1,71.64,63.88,887,14.9
2019-04-18,2.492,2905.03,1277.9,72.01,64.06,907,14.965
2019-04-22,2.53,2907.97,1276.3,74.25,65.85,904.1,14.97
2019-04-23,2.464,2933.68,1271.8,74.36,65.94,891.7,14.77
2019-04-24,2.466,2927.25,1277.5,74.55,65.79,887.6,14.87
2019-04-25,2.506,2926.17,1282.1,73.62,64.92,893.7,14.945
2019-04-26,2.566,2939.88,1288.4,71.13,62.82,903,15.04
2019-04-29,2.585,2943.03,1285.4,71.42,63.42,902.3,14.99
2019-04-30,2.574,2945.83,1281.6,71.66,63.36,889.6,14.94
2019-05-01,2.614,2923.73,1275.8,72.05,63.45,868.7,14.695
2019-05-02,2.599,2917.52,1272.9,70.35,61.6,853,14.635
2019-05-03,2.562,2945.64,1280.2,70.78,61.96,875,14.95
2019-05-06,2.526,2932.47,1283.9,70.98,62.49,885.3,14.93
2019-05-07,2.545,2884.05,1288.3,68.81,61.92,877.3,14.965
2019-05-08,2.599,2879.42,1283,68.48,61.63,862.9,14.84
2019-05-09,2.581,2870.72,1287.4,68.71,61.68,859,14.795
2019-05-10,2.619,2881.4,1286.8,70.86,61.89,867.3,14.775
2019-05-13,2.638,2811.87,1300.2,68.75,61.19,864.7,14.81
2019-05-14,2.657,2834.41,1295.7,69.26,61.49,858.3,14.795
2019-05-15,2.605,2850.96,1296.9,70.5,62.57,848,14.785
2019-05-16,2.636,2876.32,1286.6,71.09,63.29,831.3,14.53
2019-05-17,2.623,2859.53,1277.4,72.17,62.91,819.4,14.39
2019-05-20,2.655,2840.23,1275.2,70.54,63.47,819.7,14.415
2019-05-21,2.621,2864.36,1273.3,69.99,62.57,811.5,14.415
2019-05-22,2.549,2856.27,1272.5,68.66,61.07,798.4,14.405
2019-05-23,2.584,2822.24,1283.2,66.42,58.59,802.4,14.555
2019-05-24,2.598,2826.06,1284.3,69.26,59.11,805.9,14.545
2019-05-28,2.584,2802.39,1280.7,67.23,58.48,797.9,14.355
2019-05-29,2.615,2783.02,1276.5,67.3,59.21,791.3,14.355
2019-05-30,2.562,2788.86,1297.3,63.77,55.97,793,14.505
2019-05-31,2.464,2752.06,1310.2,61.76,53.53,793,14.56
2019-06-03,2.415,2744.45,1327.9,60.18,53.08,819.4,14.73
2019-06-04,2.413,2803.27,1330.4,60.8,53.1,821.8,14.78
2019-06-05,2.376,2826.15,1335,59.7,51.82,806.5,14.81
2019-06-06,2.34,2843.49,1337.1,61.41,53.33,804.2,14.87
2019-06-07,2.337,2873.34,1344.9,63.24,54.33,806.2,15.01
2019-06-10,2.37,2886.73,1332.7,61.51,53.6,805.7,14.695
2019-06-11,2.393,2885.72,1336.2,60.49,52.4,817.7,14.78
2019-06-12,2.366,2879.84,1338.3,59.71,51.36,812,14.765
2019-06-13,2.332,2891.64,1348.8,60.83,52.42,813.3,14.925
2019-06-14,2.388,2886.98,1345.3,62.04,52.98,803.1,14.85
2019-06-17,2.376,2889.67,1345.4,59.96,52.15,791.6,14.835
2019-06-18,2.334,2917.75,1349.1,61.42,54.26,801.9,14.975
2019-06-19,2.285,2926.46,1382.3,61.87,54.71,812.8,15.23
2019-06-20,2.209,2954.18,1407.5,64.7,56.86,810,15.475
2019-06-21,2.197,2950.46,1403,65.35,57.6,809.1,15.34
2019-06-24,2.294,2945.35,1439.5,64.78,57.33,813.5,15.47
2019-06-25,2.294,2917.38,1412.1,65.04,58.92,805.9,15.205
2019-06-26,2.267,2913.78,1409.5,65.53,59.07,811.1,15.215
2019-06-27,2.324,2924.92,1422.3,65.43,59.14,816.5,15.35
2019-06-28,2.316,2941.76,1412.5,64.55,58.2,835.5,15.355
2019-07-01,2.286,2964.33,1393.4,65.22,58.99,839.8,15.22
2019-07-02,2.247,2973.01,1429.8,62.82,56.42,834.1,15.365
2019-07-03,2.28,2995.82,1421.6,63.86,57.03,841.4,15.345
2019-07-05,2.398,2990.41,1401.2,64.44,57.73,813.7,15.015
2019-07-08,2.387,2975.95,1398.1,63.89,57.46,815.3,15.08
2019-07-09,2.425,2979.63,1395.3,64.54,58.61,814,15.11
2019-07-10,2.44,2993.07,1426.4,66.72,60.69,831.2,15.32
2019-07-11,2.409,2999.91,1409.4,66.81,60.52,828.6,15.15
2019-07-12,2.458,3013.77,1417.8,67,60.39,833.9,15.25
2019-07-15,2.394,3014.3,1415.7,66.19,59.65,845.3,15.365
2019-07-16,2.325,3004.04,1406.5,64.4,57.72,844.6,15.64
2019-07-17,2.313,2984.42,1424.5,63.6,56.89,854.1,16.125
2019-07-18,2.291,2995.11,1443.5,62.59,56.27,860.1,16.43
2019-07-19,2.253,2976.61,1426.5,62.65,55.86,849.6,16.23
2019-07-22,2.315,2985.03,1417.1,63.3,56.25,848.6,16.24
2019-07-23,2.292,3005.47,1420.5,64.21,56.97,862.7,16.485
2019-07-24,2.226,3019.56,1422.4,63.13,56.05,883.3,16.53
2019-07-25,2.23,3003.67,1415.7,62.95,56.2,870.3,16.42
2019-07-26,2.173,3025.86,1418.5,63.27,56.16,868.6,16.41
2019-07-29,2.118,3020.97,1424.9,63.74,57.17,883.3,16.47
2019-07-30,2.139,3013.18,1441.5,64.96,58.45,882,16.53
2019-07-31,2.233,2980.38,1421.3,65.05,57.86,864.2,16.19
2019-08-01,2.181,2953.56,1444.6,60.5,55.06,855.5,16.225
2019-08-02,2.141,2932.05,1452.5,61.17,55.19,848,16.225
2019-08-05,2.092,2844.74,1475,59.81,55.25,859.1,16.445
2019-08-06,2.093,2881.77,1496.9,58.94,53.52,857.9,16.745
2019-08-07,2.099,2883.98,1512.9,56.23,52.7,869.2,17.18
